#  Timestep    No_Moles    No_Specs   Si192O384           H
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1195           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1200           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1205           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1210           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1215           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1220           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1225           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1230           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1235           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1240           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1245           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1250           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1255           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1260           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1265           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1270           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1275           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1280           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1285           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1290           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1295           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1300           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1305           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1310           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1315           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1320           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1325           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1330           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1335           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1340           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1345           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1350           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1355           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1360           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1365           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1370           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1375           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1380           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1385           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1390           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1395           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1400           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1405           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1410           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1415           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1420           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1425           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1430           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1435           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1440           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1445           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1450           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1455           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1460           4           2           1           3
